offset_hex	va	kind	value
0xFCE	0x180001BCE	member-candidate	L$0H
0xFEC	0x180001BEC	member-candidate	L$8L
0xFFF	0x180001BFF	member-candidate	T$0I
0x1032	0x180001C32	member-candidate	L$8L
0x1109	0x180001D09	member-candidate	t$xH
0x1130	0x180001D30	member-candidate	D$0H
0x11BC	0x180001DBC	member-candidate	L$0H3
0x11DB	0x180001DDB	member-candidate	L$0H3
0x1252	0x180001E52	member-candidate	t$0H
0x2ACB	0x1800036CB	member-candidate	t$0H
0x2D57	0x180003957	member-candidate	D$PI
0x2DDD	0x1800039DD	member-candidate	D$0f
0x2DEB	0x1800039EB	signature	L$@D
0x2DF0	0x1800039F0	member-candidate	t$0H
0x2EAC	0x180003AAC	member-candidate	L$PH3
0x2ED3	0x180003AD3	member-candidate	USVWATAUAVAWH
0x2F51	0x180003B51	signature	L$pD
0x3204	0x180003E04	member-candidate	t9ff
0x3318	0x180003F18	member-candidate	u6D8
0x3442	0x180004042	member-candidate	t$dL
0x345F	0x18000405F	member-candidate	l$xL
0x357F	0x18000417F	member-candidate	t$hH
0x3A3A	0x18000463A	member-candidate	D$vL
0x3A97	0x180004697	member-candidate	D$tL
0x3E23	0x180004A23	member-candidate	D$vf
0x4279	0x180004E79	member-candidate	t$pL
0x4475	0x180005075	member-candidate	L$lH
0x4794	0x180005394	member-candidate	D$lH
0x479D	0x18000539D	member-candidate	D$lD
0x4920	0x180005520	member-candidate	l$xA
0x4A65	0x180005665	member-candidate	t$pL
0x4A94	0x180005694	member-candidate	t$pL
0x4AB3	0x1800056B3	member-candidate	t$dH
0x4C43	0x180005843	member-candidate	D$au
0x4CFD	0x1800058FD	member-candidate	D$vL
0x4F70	0x180005B70	member-candidate	D$lH
0x4F79	0x180005B79	member-candidate	D$lD
0x4FB2	0x180005BB2	member-candidate	D$vf
0x5094	0x180005C94	member-candidate	l$xA
0x509E	0x180005C9E	member-candidate	T$dH
0x51D4	0x180005DD4	member-candidate	l$xM
0x520E	0x180005E0E	member-candidate	t$pH
0x5554	0x180006154	member-candidate	D$lH
0x555D	0x18000615D	member-candidate	D$lD
0x56CD	0x1800062CD	member-candidate	D8mmu
0x5838	0x180006438	member-candidate	D8a4t
0x5848	0x180006448	member-candidate	D8eit
0x584E	0x18000644E	member-candidate	D8a5t
0x5907	0x180006507	member-candidate	t$dH
0x5C63	0x180006863	member-candidate	ATAWH
0x5EDD	0x180006ADD	signature	(D$pD
0x614C	0x180006D4C	member-candidate	L$0L
0x6190	0x180006D90	member-candidate	L$0H
0x6210	0x180006E10	member-candidate	GDE2
0x628B	0x180006E8B	member-candidate	L$PH3
0x6343	0x180006F43	member-candidate	ATAWH
0x65BD	0x1800071BD	signature	(D$pD
