offset_hex	va	encoding	value
0x4D	0x18000004D	ascii	!This program cannot be run in DOS mode.
0xE6	0x1800000E6	ascii	g?Rich
0x200	0x180000200	ascii	.text
0x227	0x180000227	ascii	`.rdata
0x24F	0x18000024F	ascii	@.data
0x278	0x180000278	ascii	.pdata
0x29F	0x18000029F	ascii	@.rsrc
0x2C7	0x1800002C7	ascii	@.reloc
0xB9F	0x18000179F	ascii	D$(L
0xBAD	0x1800017AD	ascii	D$ 3
0xBE7	0x1800017E7	ascii	L$ H
0xC17	0x180001817	ascii	L$ H
0xC47	0x180001847	ascii	L$ H
0xC77	0x180001877	ascii	L$ H
0xCA7	0x1800018A7	ascii	L$ H
0xCD7	0x1800018D7	ascii	L$ H
0xD07	0x180001907	ascii	L$ H
0xD37	0x180001937	ascii	L$ H
0xD67	0x180001967	ascii	L$ H
0xD97	0x180001997	ascii	L$ H
0xE57	0x180001A57	ascii	\$0H
0xF87	0x180001B87	ascii	t$ WH
0xF9B	0x180001B9B	ascii	D$@H
0xFCE	0x180001BCE	ascii	L$0H
0xFEC	0x180001BEC	ascii	L$8L
0xFF1	0x180001BF1	ascii	D$ I
0xFFF	0x180001BFF	ascii	T$0I
0x1009	0x180001C09	ascii	T$ H
0x100E	0x180001C0E	ascii	D$ H
0x1013	0x180001C13	ascii	T$0H;
0x1032	0x180001C32	ascii	L$8L
0x1037	0x180001C37	ascii	D$ H
0x103C	0x180001C3C	ascii	T$ I
0x10F7	0x180001CF7	ascii	L$@H3
0x1104	0x180001D04	ascii	\$pH
0x1109	0x180001D09	ascii	t$xH
0x1130	0x180001D30	ascii	D$0H
0x11A2	0x180001DA2	ascii	T$ H
0x11B7	0x180001DB7	ascii	D$ H
0x11BC	0x180001DBC	ascii	L$0H3
0x11DB	0x180001DDB	ascii	L$0H3
0x1252	0x180001E52	ascii	t$0H
0x2ACB	0x1800036CB	ascii	t$0H
0x2AD0	0x1800036D0	ascii	|$8H
0x2BDE	0x1800037DE	ascii	|$8H
0x2D2C	0x18000392C	ascii	\$0H
0x2D40	0x180003940	ascii	@SUVWAVH
0x2D57	0x180003957	ascii	D$PI
0x2D65	0x180003965	ascii	L$(E3
0x2DDD	0x1800039DD	ascii	D$0f
0x2DEB	0x1800039EB	ascii	L$@D
0x2DF0	0x1800039F0	ascii	t$0H
0x2EAC	0x180003AAC	ascii	L$PH3
0x2EBA	0x180003ABA	ascii	`A^_^][
0x2ED3	0x180003AD3	ascii	USVWATAUAVAWH
0x2F51	0x180003B51	ascii	L$pD
0x3204	0x180003E04	ascii	t9ff
0x330F	0x180003F0F	ascii	u?D8
0x3318	0x180003F18	ascii	u6D8
0x3321	0x180003F21	ascii	u-D8
0x3442	0x180004042	ascii	t$dL
0x345F	0x18000405F	ascii	l$xL
0x357F	0x18000417F	ascii	t$hH
0x375C	0x18000435C	ascii	D$`A
0x378D	0x18000438D	ascii	|$|Hc
0x37F7	0x1800043F7	ascii	N'I;
0x38C2	0x1800044C2	ascii	|$|E3
0x3960	0x180004560	ascii	\D$x
0x3A3A	0x18000463A	ascii	D$vL
0x3A97	0x180004697	ascii	D$tL
0x3CBC	0x1800048BC	ascii	^t$h
0x3E23	0x180004A23	ascii	D$vf
0x3ECE	0x180004ACE	ascii	t$(H
0x404D	0x180004C4D	ascii	|$pE
0x41AE	0x180004DAE	ascii	@szH
0x4279	0x180004E79	ascii	t$pL
0x4475	0x180005075	ascii	L$lH
0x4794	0x180005394	ascii	D$lH
0x479D	0x18000539D	ascii	D$lD
0x4920	0x180005520	ascii	l$xA
0x495C	0x18000555C	ascii	t$(H
0x4A65	0x180005665	ascii	t$pL
0x4A94	0x180005694	ascii	t$pL
0x4AB3	0x1800056B3	ascii	t$dH
0x4C43	0x180005843	ascii	D$au
0x4CE6	0x1800058E6	ascii	D$|L
0x4CFD	0x1800058FD	ascii	D$vL
0x4D44	0x180005944	ascii	|$ M
0x4F70	0x180005B70	ascii	D$lH
0x4F79	0x180005B79	ascii	D$lD
0x4FB2	0x180005BB2	ascii	D$vf
0x5094	0x180005C94	ascii	l$xA
0x509E	0x180005C9E	ascii	T$dH
0x50C6	0x180005CC6	ascii	t$(H
0x51D4	0x180005DD4	ascii	l$xM
0x520E	0x180005E0E	ascii	t$pH
0x52E5	0x180005EE5	ascii	@stH
0x53A9	0x180005FA9	ascii	t$|L
0x54E4	0x1800060E4	ascii	MHH;
0x5554	0x180006154	ascii	D$lH
0x555D	0x18000615D	ascii	D$lD
0x56C5	0x1800062C5	ascii	u#D8mpu
0x56CD	0x1800062CD	ascii	D8mmu
0x56D8	0x1800062D8	ascii	@8unt
0x56DE	0x1800062DE	ascii	@8uou
0x57F2	0x1800063F2	ascii	D$ A
0x5822	0x180006422	ascii	D8d$`t_H
0x582D	0x18000642D	ascii	D8!tVD8eht
0x5838	0x180006438	ascii	D8a4t
0x5848	0x180006448	ascii	D8eit
0x584E	0x18000644E	ascii	D8a5t
0x58D7	0x1800064D7	ascii	t$|L
0x5907	0x180006507	ascii	t$dH
0x5B84	0x180006784	ascii	A_A^A]A\_^[]
0x5BF0	0x1800067F0	ascii	@SUVWH
0x5C4B	0x18000684B	ascii	8_^][
0x5C63	0x180006863	ascii	ATAWH
0x5EDD	0x180006ADD	ascii	(D$pD
0x5EE3	0x180006AE3	ascii	(L$`H
0x5EEE	0x180006AEE	ascii	A_A\
0x5F00	0x180006B00	ascii	@SWH
0x5FFA	0x180006BFA	ascii	)L$`
0x6022	0x180006C22	ascii	)D$pH
0x6131	0x180006D31	ascii	GPI;
0x614C	0x180006D4C	ascii	L$0L
0x6190	0x180006D90	ascii	L$0H
0x6210	0x180006E10	ascii	GDE2
0x6237	0x180006E37	ascii	(L$`A
0x6241	0x180006E41	ascii	(D$p
0x628B	0x180006E8B	ascii	L$PH3
0x6343	0x180006F43	ascii	ATAWH
0x65BD	0x1800071BD	ascii	(D$pD
0x65C3	0x1800071C3	ascii	(L$`H
0x65CE	0x1800071CE	ascii	A_A\
0x65E0	0x1800071E0	ascii	@SWH
0x66DA	0x1800072DA	ascii	)L$`
0x6702	0x180007302	ascii	)D$pH
0x6811	0x180007411	ascii	GdI;
0x682C	0x18000742C	ascii	L$0L
0x6870	0x180007470	ascii	L$0H
0x68F0	0x1800074F0	ascii	GXE2
0x6917	0x180007517	ascii	(L$`A
0x6921	0x180007521	ascii	(D$p
0x696B	0x18000756B	ascii	L$PH3
0x6A23	0x180007623	ascii	ATAWH
0x6C9D	0x18000789D	ascii	(D$pD
0x6CA3	0x1800078A3	ascii	(L$`H
0x6CAE	0x1800078AE	ascii	A_A\
0x6D77	0x180007977	ascii	\$8H
0x6DDF	0x1800079DF	ascii	\$HH
0x6DF9	0x1800079F9	ascii	\$HH
0x6E02	0x180007A02	ascii	D$ H
0x6E6B	0x180007A6B	ascii	t$8H
0x6EB4	0x180007AB4	ascii	t$8H+
0x6F0A	0x180007B0A	ascii	\$@H
0x6F3B	0x180007B3B	ascii	t$8H
